model,precision,recall,f1,windows_detected,alerts_fired,series_id
static_threshold,0.354,0.057,0.099,2/2,65,ec2_cpu_utilization_24ae8d
rolling_3sigma,0.357,0.012,0.024,2/2,14,ec2_cpu_utilization_24ae8d
isolation_forest,0.667,0.085,0.15,2/2,51,ec2_cpu_utilization_24ae8d
static_threshold,1.0,0.005,0.01,1/1,1,ec2_cpu_utilization_5f5533
rolling_3sigma,0.0,0.0,0.0,0/1,0,ec2_cpu_utilization_5f5533
isolation_forest,0.072,0.388,0.122,1/1,1077,ec2_cpu_utilization_5f5533
static_threshold,0.444,0.506,0.473,1/1,459,ec2_cpu_utilization_ac20cd
rolling_3sigma,1.0,0.002,0.005,1/1,1,ec2_cpu_utilization_ac20cd
isolation_forest,0.757,0.333,0.462,1/1,177,ec2_cpu_utilization_ac20cd
static_threshold,0.0,0.0,0.0,0/1,33,ec2_disk_write_bytes_c0d644
rolling_3sigma,0.0,0.0,0.0,0/1,43,ec2_disk_write_bytes_c0d644
isolation_forest,0.0,0.0,0.0,0/1,9,ec2_disk_write_bytes_c0d644
static_threshold,0.0,0.0,0.0,0/1,55,ec2_network_in_5abac7
rolling_3sigma,0.0,0.0,0.0,0/1,38,ec2_network_in_5abac7
isolation_forest,0.0,0.0,0.0,0/1,26,ec2_network_in_5abac7
static_threshold,0.442,0.114,0.182,1/1,52,elb_request_count_8c0756
rolling_3sigma,0.5,0.005,0.01,1/1,2,elb_request_count_8c0756
isolation_forest,0.6,0.09,0.156,1/1,30,elb_request_count_8c0756
static_threshold,0.179,0.065,0.095,1/1,56,grok_asg_anomaly
rolling_3sigma,0.186,0.052,0.081,1/1,43,grok_asg_anomaly
isolation_forest,0.096,0.561,0.164,1/1,905,grok_asg_anomaly
static_threshold,0.319,0.769,0.451,2/2,968,rds_cpu_utilization_cc0c53
rolling_3sigma,1.0,0.002,0.005,1/2,1,rds_cpu_utilization_cc0c53
isolation_forest,0.318,0.756,0.448,2/2,956,rds_cpu_utilization_cc0c53
