series_id,model,MAE,RMSE,MAPE_%
ec2_cpu_utilization_24ae8d,naive_persistence,0.049,0.156,42.8
ec2_cpu_utilization_24ae8d,gradient_boosting,0.034,0.105,27.53
ec2_cpu_utilization_53ea38,naive_persistence,0.115,0.152,6.2
ec2_cpu_utilization_53ea38,gradient_boosting,0.064,0.089,3.45
ec2_cpu_utilization_5f5533,naive_persistence,1.618,2.523,4.07
ec2_cpu_utilization_5f5533,gradient_boosting,7.735,8.133,20.22
ec2_cpu_utilization_77c1ca,naive_persistence,4.271,12.874,881.39
ec2_cpu_utilization_77c1ca,gradient_boosting,7.929,15.746,4741.01
ec2_cpu_utilization_825cc2,naive_persistence,1.842,2.445,2.02
ec2_cpu_utilization_825cc2,gradient_boosting,1.775,2.34,1.95
ec2_cpu_utilization_ac20cd,naive_persistence,1.754,3.101,4.8
ec2_cpu_utilization_ac20cd,gradient_boosting,2.735,3.715,4.62
ec2_cpu_utilization_fe7f93,naive_persistence,3.456,10.103,43.38
ec2_cpu_utilization_fe7f93,gradient_boosting,3.34,8.681,65.36
ec2_disk_write_bytes_1ef3de,naive_persistence,12929361.566,67348901.883,4127.89
ec2_disk_write_bytes_1ef3de,gradient_boosting,5056649.781,24463744.935,6478.37
ec2_disk_write_bytes_c0d644,naive_persistence,13888702.753,70151826.229,22026.19
ec2_disk_write_bytes_c0d644,gradient_boosting,12001553.264,38446064.242,41463.14
ec2_network_in_257a54,naive_persistence,17853.236,46983.44,7.19
ec2_network_in_257a54,gradient_boosting,126651.388,192958.738,55.82
ec2_network_in_5abac7,naive_persistence,213360.676,1144689.987,30308.27
ec2_network_in_5abac7,gradient_boosting,95121.288,418294.651,59436.89
elb_request_count_8c0756,naive_persistence,50.603,70.766,212.52
elb_request_count_8c0756,gradient_boosting,50.296,63.604,338.43
grok_asg_anomaly,naive_persistence,0.955,2.443,76.09
grok_asg_anomaly,gradient_boosting,6.904,8.433,1172.95
iio_us-east-1_i-a2eb1cd9_NetworkIn,naive_persistence,382776.936,591488.85,9.24
iio_us-east-1_i-a2eb1cd9_NetworkIn,gradient_boosting,546757.642,721175.576,14.2
rds_cpu_utilization_cc0c53,naive_persistence,0.981,1.318,7.51
rds_cpu_utilization_cc0c53,gradient_boosting,1.517,1.994,10.73
rds_cpu_utilization_e47b3b,naive_persistence,1.022,1.288,4.4
rds_cpu_utilization_e47b3b,gradient_boosting,0.644,0.871,2.71
